epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59558,1.41854,4.76069,1.72802,0.04075,0.35714,0.03186,0.01331,1.75392,7.83437,2.31022,4e-05,4e-05,4e-05
2,4.97803,1.34139,4.7712,1.61104,0.03948,0.42857,0.03368,0.01563,1.7329,8.01588,2.29665,9.802e-05,9.802e-05,9.802e-05
3,6.91573,1.36609,3.88093,1.60544,0.45458,0.57143,0.55094,0.34117,1.19741,7.31986,1.79039,0.000153664,0.000153664,0.000153664
4,8.69536,1.15608,2.52121,1.52946,0.75584,0.71429,0.73238,0.46262,1.25595,4.54529,1.86226,0.000206932,0.000206932,0.000206932
5,11.9281,1.02627,1.91838,1.48053,0.77749,0.78571,0.76599,0.44517,1.19235,3.75686,1.90547,0.000257824,0.000257824,0.000257824
6,13.3346,1.08347,1.66378,1.48129,0.86589,0.92275,0.89479,0.6135,1.2201,2.63267,1.8563,0.00030634,0.00030634,0.00030634
7,14.9486,1.15307,1.66671,1.46039,0.64273,0.9004,0.82695,0.58329,1.23534,3.58654,1.91389,0.00035248,0.00035248,0.00035248
8,16.3824,1.04478,1.38618,1.41812,0.74625,0.64286,0.76959,0.54258,1.23715,3.98488,1.91342,0.000396244,0.000396244,0.000396244
9,17.8543,0.9462,1.23376,1.33527,0.85675,0.71429,0.74047,0.47415,1.43439,2.5684,2.06424,0.000437632,0.000437632,0.000437632
10,19.7755,0.96375,1.40621,1.33093,0.7396,0.61018,0.69594,0.47537,1.46463,2.72836,2.04202,0.000476644,0.000476644,0.000476644
11,21.4407,1.19114,1.50123,1.47222,0.76108,0.92857,0.90339,0.53461,1.16263,2.64855,1.85226,0.00051328,0.00051328,0.00051328
12,22.8372,1.0056,1.20357,1.32556,0.81263,0.85714,0.8624,0.5057,1.22273,4.10594,2.01312,0.00054754,0.00054754,0.00054754
13,24.2547,0.97927,1.11312,1.32698,1,0.64286,0.82499,0.60246,1.07178,3.90928,1.91882,0.000579424,0.000579424,0.000579424
